timestamp,src_ip,dst_ip,src_port,dst_port,protocol,length,flags
2025-06-16T11:16:09.365915,192.168.1.60,192.168.1.255,55055,5775,UDP,86,
2025-06-16T11:16:09.756337,192.168.1.234,192.168.1.255,57621,57621,UDP,82,
2025-06-16T11:16:11.561443,192.168.1.60,192.168.1.255,55055,5775,UDP,86,
2025-06-16T11:16:13.508668,192.168.1.60,192.168.1.255,55055,5775,UDP,86,
2025-06-16T11:16:15.556358,192.168.1.60,192.168.1.255,55055,5775,UDP,86,
2025-06-16T11:16:17.603366,192.168.1.60,192.168.1.255,55055,5775,UDP,86,
2025-06-16T11:16:18.182540,192.168.1.234,224.0.0.251,5353,5353,UDP,87,
2025-06-16T11:16:18.252914,192.168.1.20,224.0.0.251,5353,5353,UDP,210,
2025-06-16T11:16:18.308645,192.168.1.234,239.255.255.250,59104,1900,UDP,167,
2025-06-16T11:16:19.652796,192.168.1.60,192.168.1.255,55055,5775,UDP,86,
2025-06-16T11:16:21.496634,192.168.1.60,192.168.1.255,55055,5775,UDP,86,
2025-06-16T11:16:23.519138,192.168.1.60,192.168.1.255,55055,5775,UDP,86,
2025-06-16T11:16:24.824073,192.168.1.162,192.168.1.1,44074,53,TCP,66,S
2025-06-16T11:16:24.885043,192.168.1.162,192.168.1.1,44075,53,TCP,66,S
2025-06-16T11:16:24.946212,192.168.1.162,192.168.1.1,44076,53,TCP,66,S
2025-06-16T11:16:25.008913,192.168.1.162,34.210.226.39,44059,443,TCP,54,FA
2025-06-16T11:16:25.069166,192.168.1.162,34.210.226.39,44059,443,TCP,54,RA
2025-06-16T11:16:25.121386,192.168.1.162,34.211.165.86,44064,443,TCP,54,FA
2025-06-16T11:16:25.182002,192.168.1.162,34.211.165.86,44064,443,TCP,54,RA
2025-06-16T11:16:25.233306,192.168.1.1,192.168.1.162,53,44076,TCP,66,SA
2025-06-16T11:16:25.296448,192.168.1.1,192.168.1.162,53,44075,TCP,66,SA
2025-06-16T11:16:25.357106,192.168.1.1,192.168.1.162,53,44074,TCP,66,SA
2025-06-16T11:16:25.419936,192.168.1.162,192.168.1.1,44076,53,TCP,54,A
2025-06-16T11:16:25.483949,192.168.1.162,192.168.1.1,44075,53,TCP,54,A
2025-06-16T11:16:25.853491,192.168.1.162,192.168.1.1,44074,53,TCP,54,A
2025-06-16T11:16:25.915787,192.168.1.162,192.168.1.1,44074,53,TCP,56,PA
2025-06-16T11:16:25.978104,192.168.1.162,192.168.1.1,44074,53,TCP,95,PA
2025-06-16T11:16:26.039896,192.168.1.162,192.168.1.1,44075,53,TCP,56,PA
2025-06-16T11:16:26.099338,192.168.1.162,192.168.1.1,44075,53,TCP,95,PA
2025-06-16T11:16:26.153273,192.168.1.162,192.168.1.1,44076,53,TCP,56,PA
2025-06-16T11:16:26.219306,192.168.1.162,192.168.1.1,44076,53,TCP,95,PA
2025-06-16T11:16:26.271486,192.168.1.1,192.168.1.162,53,44074,TCP,54,A
